,isotime,rain_tip
0,2017-01-17T04:21:25.710956,1
0,2017-01-17T04:21:26.123637,1
0,2017-01-17T04:21:55.919978,1
0,2017-01-17T04:21:56.286963,1
0,2017-01-17T04:51:24.798848,1
0,2017-01-17T04:51:25.630837,1
0,2017-01-17T04:57:44.352135,1
0,2017-01-17T04:58:00.633343,1
0,2017-01-17T04:58:19.329774,1
0,2017-01-17T04:58:27.062304,1
0,2017-01-17T04:58:44.251033,1
0,2017-01-17T04:58:51.508847,1
0,2017-01-17T04:58:53.904671,1
0,2017-01-17T04:59:03.373725,1
0,2017-01-17T04:59:04.820642,1
0,2017-01-17T04:59:07.230038,1
0,2017-01-17T04:59:22.169184,1
0,2017-01-17T04:59:27.291000,1
0,2017-01-17T05:00:12.906807,1
0,2017-01-18T03:36:51.887307,1
0,2017-01-18T03:37:02.405726,1
0,2017-01-18T03:37:09.300640,1
0,2017-01-18T03:37:12.409671,1
0,2017-01-18T03:37:12.835052,1
0,2017-01-18T03:37:30.330767,1
0,2017-01-18T03:37:40.053847,1
0,2017-01-18T03:37:41.029715,1
0,2017-01-18T03:37:42.107698,1
0,2017-01-18T03:37:43.783280,1
0,2017-01-18T03:37:44.630091,1
0,2017-01-18T03:37:44.989071,1
0,2017-01-18T03:37:45.508453,1
0,2017-01-18T03:37:45.810813,1
0,2017-01-18T03:37:47.403104,1
0,2017-01-18T17:53:57.629401,1
0,2017-01-18T17:54:04.766748,1
0,2017-01-18T17:54:06.259894,1
0,2017-01-18T17:54:07.064016,1
0,2017-01-18T17:54:13.982997,1
0,2017-01-18T17:54:15.779742,1
0,2017-01-18T17:54:16.216092,1
0,2017-01-18T17:54:17.134306,1
0,2017-01-18T17:54:17.631937,1
0,2017-01-18T17:54:18.318127,1
0,2017-01-18T17:54:19.037943,1
0,2017-01-18T17:54:20.014644,1
0,2017-01-18T17:54:42.619535,1
0,2017-01-18T17:54:55.304579,1
0,2017-01-18T17:56:33.234682,1
0,2017-01-18T18:04:55.635411,1
0,2017-01-18T18:06:36.920629,1
0,2017-01-18T18:08:14.091580,1
0,2017-01-18T18:08:14.421295,1
0,2017-01-18T18:08:55.082927,1
0,2017-01-18T18:10:07.973209,1
0,2017-01-18T18:10:08.290992,1
0,2017-01-18T18:10:32.957482,1
0,2017-01-18T18:11:38.281373,1
0,2017-01-18T18:12:15.729650,1
0,2017-01-18T18:14:47.170677,1
0,2017-01-18T18:16:23.247131,1
0,2017-01-18T18:20:52.566890,1
0,2017-01-18T20:30:37.219485,1
0,2017-01-18T21:31:06.331964,1
0,2017-01-18T21:31:06.775448,1
0,2017-01-18T22:38:17.998838,1
0,2017-01-22T02:21:20.520891,1
0,2017-01-22T18:08:32.204578,1
0,2017-01-22T18:08:53.746547,1
0,2017-01-22T18:09:21.206330,1
0,2017-01-22T18:09:23.091816,1
0,2017-01-22T18:10:37.043385,1
0,2017-01-22T18:10:57.140881,1
0,2017-01-22T18:12:47.384540,1
0,2017-01-22T23:29:08.393264,1
0,2017-01-22T23:30:54.600411,1
0,2017-01-22T23:33:15.875321,1
0,2017-01-22T23:36:43.399559,1
0,2017-01-22T23:41:31.388170,1
0,2017-01-23T00:00:46.205546,1
0,2017-01-23T00:10:44.073256,1
0,2017-01-23T00:26:30.601877,1
0,2017-01-23T00:31:34.162076,1
0,2017-01-23T00:51:05.613454,1
0,2017-01-23T03:13:55.468661,1
0,2017-01-23T04:39:44.125297,1
0,2017-01-23T07:20:55.697989,1
0,2017-01-23T09:11:22.179038,1
0,2017-01-23T09:16:07.034000,1
0,2017-01-23T10:01:59.239744,1
0,2017-01-23T11:00:44.884016,1
0,2017-01-23T11:05:53.004475,1
0,2017-01-23T11:37:07.849702,1
0,2017-01-23T14:36:46.575848,1
0,2017-01-23T14:46:01.985010,1
0,2017-01-23T15:07:36.469833,1
0,2017-01-23T15:12:21.015824,1
0,2017-01-23T15:15:43.254987,1
0,2017-01-23T15:20:18.449566,1
0,2017-01-23T15:29:43.604979,1
0,2017-01-23T20:28:52.550974,1
0,2017-01-23T20:37:38.462369,1
0,2017-01-23T20:38:36.987287,1
0,2017-01-23T20:40:53.783592,1
0,2017-01-23T20:42:15.981169,1
0,2017-01-23T21:47:19.003724,1
0,2017-01-23T21:50:46.030170,1
0,2017-01-23T21:55:32.771658,1
0,2017-01-23T23:25:23.839346,1
0,2017-01-24T02:02:57.360036,1
0,2017-01-24T03:30:50.024708,1
0,2017-01-24T04:36:31.716821,1
0,2017-01-24T05:25:14.962002,1
0,2017-01-24T05:32:04.524304,1
0,2017-01-24T05:39:21.744237,1
0,2017-01-24T05:44:06.651052,1
0,2017-01-24T05:51:15.028253,1
0,2017-01-24T06:20:07.343620,1
0,2017-01-25T02:49:27.820273,1
0,2017-01-25T05:43:07.592197,1
0,2017-01-25T08:23:13.266688,1
0,2017-02-03T09:39:23.511342,1
0,2017-02-03T09:40:35.491000,1
0,2017-02-03T10:57:07.593862,1
0,2017-02-03T11:42:24.502505,1
0,2017-02-03T11:49:11.388880,1
0,2017-02-03T11:57:54.586485,1
0,2017-02-03T12:55:06.857225,1
0,2017-02-03T12:57:03.142092,1
0,2017-02-03T12:58:31.819797,1
0,2017-02-03T13:00:30.092702,1
0,2017-02-03T13:03:26.524136,1
0,2017-02-03T13:06:13.463636,1
0,2017-02-03T13:09:05.022834,1
0,2017-02-03T13:10:58.592694,1
0,2017-02-03T13:16:39.130643,1
0,2017-02-03T13:25:39.634614,1
0,2017-02-03T13:30:55.521869,1
0,2017-02-03T13:32:32.323305,1
0,2017-02-03T13:34:05.180751,1
0,2017-02-03T13:52:57.564477,1
0,2017-02-03T14:40:43.381554,1
0,2017-02-03T15:20:10.100707,1
0,2017-02-03T15:21:19.691670,1
0,2017-02-03T15:36:30.921639,1
